"Field";"freqRatio";"percentUnique";"zeroVar";"nzv";"className";"isSymbolic";"isNumeric";"nDistinct";"nNA";"isDate";"isBoolean";"Overlap";"ksTest";"AUCVal";"AUCDev";"Binning";"BinParam";"FinalName"
"VAR_0003";"5.26751592356688";"2.475";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"495";"0";"FALSE";"FALSE";"0.867562380038388";"0.083984375";"0.565324156905836";"0.55473820270367";"numbin";"30";"VAR_0003_numbin"
"VAR_0004";"1.05660377358491";"21.35";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"4270";"0";"FALSE";"FALSE";"0.54268624252311";"0.04296875";"0.57981205127025";"0.577229508746124";"numbin";"50";"VAR_0004_numbin"
"VAR_0014";"3.17373366949347";"0.12";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"24";"6";"FALSE";"FALSE";"0.533333333333333";"0.17578125";"0.625950387710694";"0.623224684088339";"none";NA;"VAR_0014"
"VAR_0073";"436.15625";"5.47";"FALSE";"TRUE";"character";"TRUE";"FALSE";"1094";"0";"TRUE";"FALSE";"0.708730158730159";NA;NA;NA;NA;NA;NA
"VAR_0176";"1258.78571428571";"5.665";"FALSE";"TRUE";"character";"TRUE";"FALSE";"1133";"0";"TRUE";"FALSE";"0.458360232408005";NA;NA;NA;NA;NA;NA
"VAR_0200";"1.7396449704142";"25.155";"FALSE";"FALSE";"character";"TRUE";"FALSE";"5031";"0";"FALSE";"FALSE";"0.434066713981547";NA;"0.51363681798831";"0.581179619954213";"symbin";"10";"VAR_0200_symbin"
"VAR_0212";"1.5";"90.985";"FALSE";"FALSE";"numeric";"FALSE";"TRUE";"18197";"1726";"FALSE";"FALSE";"0.00397285217679192";"0.02734375";"0.551366432425902";"0.542763374220124";"numbin";"8";"VAR_0212_numbin"
"VAR_0274";"1.35470085470085";"0.285";"FALSE";"FALSE";"character";"TRUE";"FALSE";"57";"0";"FALSE";"FALSE";"0.982758620689655";NA;"0.538814044665869";"0.556077526073999";"symbin";"160";"VAR_0274_symbin"
"VAR_0342";"1.45379594641017";"0.245";"FALSE";"FALSE";"character";"TRUE";"FALSE";"49";"0";"FALSE";"FALSE";"0.941176470588235";NA;"0.541572941596097";"0.53717236176862";"symbin";"80";"VAR_0342_symbin"
"VAR_0404";"59.0360655737705";"1.965";"FALSE";"TRUE";"character";"TRUE";"FALSE";"393";"0";"FALSE";"FALSE";"0.173728813559322";NA;"0.505594919286175";"0.506292967832573";"symbin";"160";"VAR_0404_symbin"
"VAR_0493";"137.573529411765";"1.235";"FALSE";"TRUE";"character";"TRUE";"FALSE";"247";"0";"FALSE";"FALSE";"0.415954415954416";NA;"0.500200813754142";"0.50152962550691";"symbin";"80";"VAR_0493_symbin"
"VAR_0540";"2.1678445229682";"0.43";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"86";"0";"FALSE";"FALSE";"1";"0.080078125";"0.578670091586893";"0.618082309400267";"symbin";"80";"VAR_0540_symbin"
"VAR_0720";"1.14285714285714";"0.185";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"37";"0";"FALSE";"FALSE";"0.804878048780488";"0.052734375";"0.598722702273564";"0.600765724340612";"none";NA;"VAR_0720"
"VAR_0795";"4.07268920131618";"0.095";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"19";"0";"FALSE";"FALSE";"0.85";"0.099609375";"0.617846392040225";"0.612561462544226";"none";NA;"VAR_0795"
"VAR_0806";"1.23636363636364";"0.135";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"27";"0";"FALSE";"FALSE";"0.857142857142857";"0.033203125";"0.543783870466679";"0.551690695860168";"none";NA;"VAR_0806"
"VAR_0855";"7.40435458786936";"0.42";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"84";"0";"FALSE";"FALSE";"1";"0.01171875";"0.602754078838365";"0.591533120811537";"symbin";"160";"VAR_0855_symbin"
"VAR_0881";"6.25";"0.925";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"185";"0";"FALSE";"FALSE";"0.758139534883721";"0.076171875";"0.615878884676454";"0.616798124854127";"numbin";"30";"VAR_0881_numbin"
"VAR_0884";"5.41098169717138";"0.925";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"185";"0";"FALSE";"FALSE";"0.742081447963801";"0.072265625";"0.622857746916421";"0.635637858937721";"numbin";"50";"VAR_0884_numbin"
"VAR_0968";"1.9935691318328";"38.785";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"7757";"0";"FALSE";"FALSE";"0.201715080346106";"0.095703125";"0.614844792721373";"0.623317503433811";"numbin";"60";"VAR_0968_numbin"
"VAR_1000";"1.00372362432768";"0.2";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"40";"0";"FALSE";"FALSE";"0.926829268292683";"0.044921875";"0.562371098064709";"0.573286750120586";"none";NA;"VAR_1000"
"VAR_1001";"1.01948310139165";"0.195";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"39";"0";"FALSE";"FALSE";"0.833333333333333";"0.052734375";"0.561545011045655";"0.571650196105465";"none";NA;"VAR_1001"
"VAR_1002";"1.22392873598526";"0.085";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"17";"0";"FALSE";"FALSE";"0.823529411764706";"0.05078125";"0.518002764290317";"0.526365928518392";"none";NA;"VAR_1002"
"VAR_1003";"1.29226046919535";"0.105";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"21";"0";"FALSE";"FALSE";"0.818181818181818";"0.046875";"0.506972749735365";"0.508734369024987";"none";NA;"VAR_1003"
"VAR_1004";"1.13085263676688";"0.125";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"25";"0";"FALSE";"FALSE";"0.92";"0.04296875";"0.493459979634573";"0.493419427528144";"none";NA;"VAR_1004"
"VAR_1005";"1.03965785381026";"0.13";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"26";"0";"FALSE";"FALSE";"0.892857142857143";"0.0703125";"0.520291897263899";"0.518810534460889";"none";NA;"VAR_1005"
"VAR_1006";"1.07738095238095";"0.195";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"39";"0";"FALSE";"FALSE";"0.804878048780488";"0.1328125";"0.575684672427283";"0.586927043905387";"none";NA;"VAR_1006"
"VAR_1007";"1.2143787444647";"0.18";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"36";"0";"FALSE";"FALSE";"0.888888888888889";"0.1015625";"0.579554606958763";"0.589511182790104";"none";NA;"VAR_1007"
"VAR_1008";"1.01918265221018";"0.39";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"78";"0";"FALSE";"FALSE";"0.807228915662651";"0.095703125";"0.557377541363678";"0.540304894630838";"none";NA;"VAR_1008"
"VAR_1009";"8.73864783047427";"0.055";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"11";"0";"FALSE";"FALSE";"0.769230769230769";"0.04296875";"0.494121029029363";"0.489051450090082";"none";NA;"VAR_1009"
"VAR_1010";"138.097902097902";"0.03";"FALSE";"TRUE";"integer";"FALSE";"TRUE";"6";"0";"FALSE";"FALSE";"1";"0.095703125";"0.502094251944496";"0.505333960398835";"symbin";"16";"VAR_1010_symbin"
"VAR_1011";"1.04802259887006";"0.42";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"84";"0";"FALSE";"FALSE";"0.872093023255814";"0.111328125";"0.598657801857051";"0.58477059687378";"none";NA;"VAR_1011"
"VAR_1012";"265.293333333333";"0.015";"FALSE";"TRUE";"integer";"FALSE";"TRUE";"3";"0";"FALSE";"FALSE";"0.75";"0.0234375";"0.500779524116348";"0.502405492199509";"none";NA;"VAR_1012"
"VAR_1013";"265.24";"0.02";"FALSE";"TRUE";"integer";"FALSE";"TRUE";"4";"0";"FALSE";"FALSE";"1";"0.048828125";"0.502143151981314";"0.503408104994613";"symbin";"16";"VAR_1013_symbin"
"VAR_1014";"1.03309481216458";"0.21";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"42";"0";"FALSE";"FALSE";"0.886363636363636";"0.0546875";"0.60201446578148";"0.594182612288962";"none";NA;"VAR_1014"
"VAR_1015";"5.30104529616725";"0.1";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"20";"0";"FALSE";"FALSE";"0.833333333333333";"0.056640625";"0.587028402291974";"0.565759679586208";"none";NA;"VAR_1015"
"VAR_1016";"1.11978131212724";"0.23";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"46";"0";"FALSE";"FALSE";"0.893617021276596";"0.0859375";"0.601748931390372";"0.593189370432402";"none";NA;"VAR_1016"
"VAR_1017";"4.5353125";"0.09";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"18";"0";"FALSE";"FALSE";"0.739130434782609";"0.072265625";"0.574418125517765";"0.552580613415648";"none";NA;"VAR_1017"
"VAR_1018";"1.09417989417989";"0.235";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"47";"0";"FALSE";"FALSE";"0.9375";"0.041015625";"0.593259022056793";"0.58866766524275";"none";NA;"VAR_1018"
"VAR_1019";"1.07518796992481";"0.2";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"40";"0";"FALSE";"FALSE";"0.837209302325581";"0.1015625";"0.586282496950939";"0.588909557445727";"none";NA;"VAR_1019"
"VAR_1020";"1.48157649253731";"0.145";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"29";"0";"FALSE";"FALSE";"0.896551724137931";"0.099609375";"0.494354382881535";"0.47859303908054";"none";NA;"VAR_1020"
"VAR_1021";"1.08889317392981";"0.095";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"19";"0";"FALSE";"FALSE";"0.857142857142857";"0.064453125";"0.570236633031112";"0.590083896848346";"none";NA;"VAR_1021"
"VAR_1022";"1.24947589098532";"0.185";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"37";"0";"FALSE";"FALSE";"0.871794871794872";"0.095703125";"0.436787533654731";"0.44239023121022";"none";NA;"VAR_1022"
"VAR_1023";"3.58671328671329";"0.255";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"51";"0";"FALSE";"FALSE";"0.796296296296296";"0.189453125";"0.476001228253866";"0.4877728770172";"none";NA;"VAR_1023"
"VAR_1024";"10.8455927051672";"0.055";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"11";"0";"FALSE";"FALSE";"0.769230769230769";"0.044921875";"0.552562505752946";"0.542393216602712";"none";NA;"VAR_1024"
"VAR_1025";"25.7317073170732";"0.05";"FALSE";"TRUE";"integer";"FALSE";"TRUE";"10";"0";"FALSE";"FALSE";"1";"0.0546875";"0.524639506052099";"0.520800855268372";"symbin";"160";"VAR_1025_symbin"
"VAR_1026";"16.7970749542962";"0.095";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"19";"0";"FALSE";"FALSE";"0.85";"0.033203125";"0.54710475826123";"0.536159246868426";"none";NA;"VAR_1026"
"VAR_1027";"4.48347235094223";"0.115";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"23";"0";"FALSE";"FALSE";"0.84";"0.052734375";"0.5649883287118";"0.569939362153816";"none";NA;"VAR_1027"
"VAR_1028";"1.37553418803419";"0.28";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"56";"0";"FALSE";"FALSE";"0.803030303030303";"0.078125";"0.574772830564249";"0.583106307098542";"none";NA;"VAR_1028"
"VAR_1029";"2.53043888626711";"0.135";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"27";"0";"FALSE";"FALSE";"0.733333333333333";"0.0546875";"0.6244365708993";"0.610238301525485";"none";NA;"VAR_1029"
"VAR_1030";"1.98664400194269";"0.16";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"32";"0";"FALSE";"FALSE";"0.823529411764706";"0.03125";"0.619322382122147";"0.615739918550242";"none";NA;"VAR_1030"
"VAR_1031";"1.58537263626251";"0.195";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"39";"0";"FALSE";"FALSE";"0.813953488372093";"0.052734375";"0.606521359248435";"0.605441600876579";"none";NA;"VAR_1031"
"VAR_1032";"1.70684326710817";"0.285";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"57";"0";"FALSE";"FALSE";"0.791044776119403";"0.087890625";"0.577577930838089";"0.591963917827715";"none";NA;"VAR_1032"
"VAR_1033";"3.38900804289544";"0.135";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"27";"0";"FALSE";"FALSE";"0.888888888888889";"0.041015625";"0.598344625885954";"0.594175270796281";"none";NA;"VAR_1033"
"VAR_1034";"2.56526181353768";"0.155";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"31";"0";"FALSE";"FALSE";"0.848484848484849";"0.025390625";"0.602407643651049";"0.606541604893329";"none";NA;"VAR_1034"
"VAR_1035";"2.07503486750349";"0.2";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"40";"0";"FALSE";"FALSE";"0.795454545454545";"0.044921875";"0.601265683967691";"0.602677939207073";"none";NA;"VAR_1035"
"VAR_1036";"1.87420584498094";"0.285";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"57";"0";"FALSE";"FALSE";"0.791044776119403";"0.0703125";"0.576555164994477";"0.592641031904242";"none";NA;"VAR_1036"
"VAR_1037";"3.72048125349748";"0.13";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"26";"0";"FALSE";"FALSE";"0.785714285714286";"0.064453125";"0.588411985686672";"0.584606544454989";"none";NA;"VAR_1037"
"VAR_1038";"2.76334888543287";"0.15";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"30";"0";"FALSE";"FALSE";"0.84375";"0.064453125";"0.596542875264635";"0.600195206076254";"none";NA;"VAR_1038"
"VAR_1039";"2.21485777409555";"0.205";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"41";"0";"FALSE";"FALSE";"0.777777777777778";"0.033203125";"0.597037988137426";"0.599289319110711";"none";NA;"VAR_1039"
"VAR_1040";"1.58977505112474";"0.305";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"61";"0";"FALSE";"FALSE";"0.797101449275362";"0.087890625";"0.57571990921852";"0.592491141247014";"none";NA;"VAR_1040"
"VAR_1041";"11.9151756129887";"0.055";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"11";"0";"FALSE";"FALSE";"0.769230769230769";"0.154296875";"0.565687671150129";"0.550055528078559";"none";NA;"VAR_1041"
"VAR_1042";"5.60615825277479";"0.08";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"16";"0";"FALSE";"FALSE";"0.764705882352941";"0.06640625";"0.596986750966495";"0.581928208230639";"none";NA;"VAR_1042"
"VAR_1043";"2.2298190175237";"0.17";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"34";"0";"FALSE";"FALSE";"0.891891891891892";"0.0390625";"0.552819051166697";"0.566339712957395";"none";NA;"VAR_1043"
"VAR_1044";"2.01882352941176";"0.285";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"57";"0";"FALSE";"FALSE";"0.84375";"0.076171875";"0.570539381788476";"0.593582661514669";"none";NA;"VAR_1044"
